year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2014,2,OO,SkyWest Airlines Inc.,SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",93.0,10.0,5.05,0.0,3.6,0.0,1.35,0.0,20.0,638.0,383.0,0.0,106.0,0.0,149.0
2019,8,NK,Spirit Air Lines,SMF,"Sacramento, CA: Sacramento International",93.0,11.0,5.04,0.23,3.63,0.0,2.1,4.0,0.0,443.0,205.0,7.0,149.0,0.0,82.0
2017,4,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",40.0,10.0,1.19,0.0,6.16,0.0,2.65,0.0,0.0,1081.0,62.0,0.0,471.0,0.0,548.0
2006,12,B6,JetBlue Airways,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",31.0,18.0,0.48,0.0,16.62,0.0,0.9,0.0,1.0,547.0,19.0,0.0,500.0,0.0,28.0
2013,1,9E,Pinnacle Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",48.0,10.0,2.87,0.0,5.24,0.0,1.89,1.0,0.0,421.0,173.0,0.0,168.0,0.0,80.0
2012,5,DL,Delta Air Lines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",61.0,6.0,4.38,0.0,0.38,0.0,1.24,0.0,0.0,173.0,135.0,0.0,7.0,0.0,31.0
2008,8,9E,Pinnacle Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",174.0,15.0,4.0,0.52,5.09,0.0,5.38,6.0,0.0,587.0,173.0,12.0,201.0,0.0,201.0
2012,3,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",198.0,36.0,11.51,0.0,10.0,0.0,14.5,0.0,1.0,2298.0,729.0,0.0,520.0,0.0,1049.0
2014,4,EV,ExpressJet Airlines Inc.,HOU,"Houston, TX: William P Hobby",113.0,46.0,16.42,0.0,4.91,0.0,24.68,4.0,0.0,2868.0,1131.0,0.0,331.0,0.0,1406.0
2010,1,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",670.0,144.0,35.16,31.82,66.36,0.0,10.66,11.0,2.0,8774.0,2440.0,2220.0,3617.0,0.0,497.0
2007,10,UA,United Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",119.0,36.0,8.62,1.18,7.23,0.0,18.97,3.0,0.0,2026.0,421.0,50.0,334.0,0.0,1221.0
2005,3,DL,Delta Air Lines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",89.0,19.0,5.36,1.1,3.13,0.0,9.42,0.0,0.0,1675.0,644.0,188.0,141.0,0.0,702.0
2006,9,EV,Atlantic Southeast Airlines,ROC,"Rochester, NY: Greater Rochester International",110.0,33.0,11.23,5.34,11.95,0.0,4.48,8.0,0.0,1469.0,582.0,207.0,483.0,0.0,197.0
2007,3,US,US Airways Inc.,ILM,"Wilmington, NC: Wilmington International",56.0,33.0,16.61,0.0,5.69,0.0,10.7,0.0,0.0,1197.0,521.0,0.0,205.0,0.0,471.0
2010,9,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",345.0,55.0,18.71,5.5,12.56,0.0,18.23,2.0,1.0,3068.0,1004.0,439.0,559.0,0.0,1066.0
2010,9,MQ,American Eagle Airlines Inc.,RAP,"Rapid City, SD: Rapid City Regional",67.0,6.0,4.26,0.0,0.62,0.0,1.13,1.0,0.0,186.0,115.0,0.0,16.0,0.0,55.0
2011,8,OO,SkyWest Airlines Inc.,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",371.0,50.0,14.73,0.0,11.97,0.0,23.3,10.0,0.0,2208.0,655.0,0.0,384.0,0.0,1169.0
2021,10,OH,PSA Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",271.0,35.0,10.81,1.82,10.46,0.0,11.91,1.0,0.0,2399.0,759.0,266.0,398.0,0.0,976.0
2005,6,OH,Comair Inc.,MLB,"Melbourne, FL: Melbourne International",68.0,8.0,1.74,2.0,4.26,0.0,0.0,0.0,0.0,236.0,75.0,85.0,76.0,0.0,0.0
2022,3,G4,Allegiant Air,LAS,"Las Vegas, NV: McCarran International",807.0,254.0,48.43,8.22,75.56,2.73,119.06,14.0,0.0,15290.0,4295.0,534.0,4139.0,69.0,6253.0
2015,3,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",845.0,154.0,60.23,6.86,41.29,0.0,45.63,15.0,0.0,9591.0,3484.0,693.0,1878.0,0.0,3536.0
2005,5,CO,Continental Air Lines Inc.,PSP,"Palm Springs, CA: Palm Springs International",,,,,,,,,,,,,,,
2006,1,WN,Southwest Airlines Co.,RSW,"Fort Myers, FL: Southwest Florida International",279.0,57.0,15.61,0.3,16.08,0.27,24.75,0.0,0.0,2494.0,647.0,8.0,463.0,4.0,1372.0
2018,10,EV,ExpressJet Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",90.0,22.0,2.37,0.86,13.35,0.0,5.43,1.0,0.0,1177.0,132.0,37.0,602.0,0.0,406.0
2015,1,US,US Airways Inc.,MCO,"Orlando, FL: Orlando International",791.0,154.0,40.84,0.94,62.13,0.83,49.25,12.0,1.0,7328.0,2067.0,110.0,2321.0,20.0,2810.0
2019,6,G4,Allegiant Air,FNT,"Flint, MI: Bishop International",44.0,12.0,7.14,0.0,1.96,0.0,2.9,0.0,0.0,1744.0,1355.0,0.0,71.0,0.0,318.0
2010,1,YV,Mesa Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",29.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,160.0,136.0,24.0,0.0,0.0,0.0
2021,1,DL,Delta Air Lines Inc.,RNO,"Reno, NV: Reno/Tahoe International",26.0,5.0,2.21,0.0,2.13,0.0,0.65,0.0,0.0,194.0,98.0,0.0,64.0,0.0,32.0
2011,3,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4764.0,923.0,260.31,13.33,295.28,0.0,354.08,48.0,8.0,51523.0,18737.0,1779.0,9719.0,0.0,21288.0
2009,5,MQ,American Eagle Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",578.0,91.0,30.64,3.93,15.68,0.0,40.75,19.0,4.0,5556.0,2072.0,242.0,818.0,0.0,2424.0
2013,7,DL,Delta Air Lines Inc.,CHA,"Chattanooga, TN: Lovell Field",29.0,14.0,6.39,0.95,2.11,0.0,4.55,0.0,0.0,986.0,415.0,19.0,141.0,0.0,411.0
2014,9,EV,ExpressJet Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",118.0,27.0,14.4,0.11,6.89,0.0,5.6,3.0,0.0,1592.0,920.0,3.0,345.0,0.0,324.0
2008,10,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",179.0,16.0,4.79,0.27,9.5,0.0,1.44,0.0,0.0,504.0,159.0,14.0,265.0,0.0,66.0
2005,4,OO,SkyWest Airlines Inc.,MLU,"Monroe, LA: Monroe Regional",82.0,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,251.0,174.0,0.0,0.0,0.0,77.0
2004,1,MQ,American Eagle Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",22.0,4.0,1.82,0.0,1.0,0.0,1.18,0.0,0.0,281.0,169.0,0.0,17.0,0.0,95.0
2007,11,MQ,American Eagle Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",114.0,42.0,3.35,0.0,31.88,0.0,6.77,7.0,0.0,2714.0,155.0,0.0,2133.0,0.0,426.0
2007,1,US,US Airways Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",37.0,15.0,8.21,0.0,6.79,0.0,0.0,0.0,0.0,534.0,345.0,0.0,189.0,0.0,0.0
2008,4,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International",180.0,29.0,8.66,0.24,7.4,0.0,12.71,0.0,0.0,1454.0,629.0,6.0,216.0,0.0,603.0
2022,4,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",60.0,19.0,4.01,1.64,1.21,0.0,12.14,3.0,0.0,1789.0,170.0,655.0,66.0,0.0,898.0
2018,6,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2432.0,484.0,122.46,26.0,179.8,0.0,155.74,14.0,4.0,34537.0,9488.0,2026.0,7993.0,0.0,15030.0
2009,10,MQ,American Eagle Airlines Inc.,CWA,"Mosinee, WI: Central Wisconsin",93.0,23.0,9.2,0.95,6.26,0.0,6.59,0.0,0.0,1006.0,340.0,76.0,244.0,0.0,346.0
2009,10,US,US Airways Inc.,MCO,"Orlando, FL: Orlando International",723.0,114.0,36.48,0.0,45.89,0.0,31.63,2.0,0.0,5485.0,2295.0,0.0,1122.0,0.0,2068.0
2008,8,DL,Delta Air Lines Inc.,ONT,"Ontario, CA: Ontario International",79.0,17.0,9.34,0.76,2.89,0.0,4.0,0.0,0.0,833.0,412.0,58.0,118.0,0.0,245.0
2015,8,OO,SkyWest Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",111.0,15.0,5.67,1.0,6.0,0.0,2.33,1.0,0.0,870.0,456.0,21.0,228.0,0.0,165.0
2019,4,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",270.0,43.0,10.53,2.29,11.69,0.0,18.49,4.0,0.0,3870.0,1230.0,91.0,666.0,0.0,1883.0
2020,8,OH,PSA Airlines Inc.,LEX,"Lexington, KY: Blue Grass",124.0,21.0,5.52,2.92,5.51,0.0,7.05,1.0,0.0,2802.0,496.0,207.0,262.0,0.0,1837.0
2013,2,F9,Frontier Airlines Inc.,RFD,"Rockford, IL: Chicago/Rockford International",8.0,3.0,1.99,0.0,0.5,0.0,0.51,0.0,0.0,177.0,117.0,0.0,32.0,0.0,28.0
2020,2,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4553.0,453.0,107.12,14.22,155.57,0.0,176.09,0.0,2.0,31347.0,11652.0,1811.0,6058.0,0.0,11826.0
2003,11,CO,Continental Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",178.0,37.0,3.07,1.0,26.45,0.0,6.48,2.0,0.0,1293.0,127.0,94.0,830.0,0.0,242.0
2021,9,MQ,Envoy Air,ROC,"Rochester, NY: Greater Rochester International",10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
2007,5,9E,Pinnacle Airlines Inc.,MLI,"Moline, IL: Quad City International",269.0,29.0,7.85,3.88,11.04,0.0,6.23,0.0,1.0,2352.0,1182.0,221.0,586.0,0.0,363.0
2019,5,OO,SkyWest Airlines Inc.,CIU,"Sault Ste. Marie, MI: Chippewa County International",58.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,311.0,178.0,0.0,0.0,0.0,133.0
2020,11,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0
2013,1,B6,JetBlue Airways,SYR,"Syracuse, NY: Syracuse Hancock International",169.0,33.0,15.86,0.0,6.91,0.0,10.23,0.0,0.0,1642.0,804.0,0.0,145.0,0.0,693.0
2009,8,OH,Comair Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",141.0,44.0,15.77,6.3,20.02,0.0,1.91,1.0,0.0,2449.0,1297.0,326.0,641.0,0.0,185.0
2008,11,9E,Pinnacle Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",66.0,13.0,5.46,1.0,5.54,0.0,1.0,0.0,0.0,435.0,168.0,103.0,122.0,0.0,42.0
2009,6,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",648.0,205.0,54.79,6.67,59.78,0.66,83.11,7.0,0.0,13877.0,3634.0,563.0,3239.0,42.0,6399.0
2006,11,EV,Atlantic Southeast Airlines,PFN,"Panama City, FL: Bay County",224.0,94.0,40.01,6.38,32.99,0.0,14.62,3.0,0.0,4523.0,1905.0,516.0,1334.0,0.0,768.0
2004,10,NW,Northwest Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",187.0,36.0,15.39,0.04,18.45,0.0,2.12,0.0,0.0,1308.0,701.0,4.0,508.0,0.0,95.0
2006,9,US,US Airways Inc.,BOS,"Boston, MA: Logan International",1738.0,419.0,71.18,2.08,208.65,0.0,137.08,34.0,0.0,20263.0,3068.0,124.0,9280.0,0.0,7791.0
2013,2,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",429.0,46.0,8.68,3.17,10.7,0.0,23.45,4.0,5.0,2503.0,413.0,216.0,314.0,0.0,1560.0
2006,7,EV,Atlantic Southeast Airlines,GNV,"Gainesville, FL: Gainesville Regional",149.0,69.0,28.32,11.17,21.05,0.0,8.46,4.0,1.0,3915.0,2068.0,773.0,729.0,0.0,345.0
2007,12,FL,AirTran Airways Corporation,SAN,"San Diego, CA: San Diego International",59.0,33.0,6.5,0.0,12.89,0.0,13.61,0.0,0.0,1284.0,205.0,0.0,493.0,0.0,586.0
2020,3,DL,Delta Air Lines Inc.,CAK,"Akron, OH: Akron-Canton Regional",31.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
2018,11,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",57.0,17.0,5.0,0.0,2.0,0.0,10.0,0.0,0.0,919.0,203.0,0.0,44.0,0.0,672.0
2020,7,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",310.0,33.0,13.65,4.62,9.57,0.0,5.15,0.0,0.0,2519.0,610.0,993.0,407.0,0.0,509.0
2008,6,MQ,American Eagle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",56.0,16.0,3.84,0.0,5.49,0.0,6.67,9.0,0.0,892.0,271.0,0.0,261.0,0.0,360.0
2018,12,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",19.0,6.0,2.47,0.0,0.77,0.0,2.75,0.0,0.0,362.0,140.0,0.0,32.0,0.0,190.0
